  0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  0.00 100.00 180.00 240.00 280.00 300.00 300.00 280.00 240.00 180.00 100.00   0.00
  0.00 180.00 324.00 432.00 504.00 540.00 540.00 504.00 432.00 324.00 180.00   0.00
  0.00 240.00 432.00 576.00 672.00 720.00 720.00 672.00 576.00 432.00 240.00   0.00
  0.00 280.00 504.00 672.00 784.00 840.00 840.00 784.00 672.00 504.00 280.00   0.00
  0.00 300.00 540.00 720.00 840.00 900.00 900.00 840.00 720.00 540.00 300.00   0.00
  0.00 300.00 540.00 720.00 840.00 900.00 900.00 840.00 720.00 540.00 300.00   0.00
  0.00 280.00 504.00 672.00 784.00 840.00 840.00 784.00 672.00 504.00 280.00   0.00
  0.00 240.00 432.00 576.00 672.00 720.00 720.00 672.00 576.00 432.00 240.00   0.00
  0.00 180.00 324.00 432.00 504.00 540.00 540.00 504.00 432.00 324.00 180.00   0.00
  0.00 100.00 180.00 240.00 280.00 300.00 300.00 280.00 240.00 180.00 100.00   0.00
  0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
