   0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
 393.0   37.0   77.0   68.0  294.0  383.0  356.0  374.0  264.0   49.0  162.0    0.0
 396.0  200.0  439.0   79.0   47.0  372.0  239.0   53.0  409.0  305.0  266.0    0.0
 287.0   69.0  292.0  177.0  208.0  180.0  323.0  260.0  442.0   80.0  311.0    0.0
 425.0  273.0   40.0  403.0  334.0  506.0  367.0   97.0   70.0  444.0  290.0    0.0
 303.0  436.0  372.0  466.0  325.0  291.0  134.0  318.0  186.0  388.0  296.0    0.0
 345.0   50.0  133.0   21.0  380.0  315.0  405.0  286.0  378.0  477.0  451.0    0.0
 396.0  436.0   77.0   52.0  423.0  435.0   92.0  188.0  249.0  111.0  375.0    0.0
 502.0  182.0  145.0  239.0   36.0   94.0   55.0  298.0   22.0  107.0  199.0    0.0
 159.0  246.0  439.0  383.0  101.0  337.0  324.0   94.0  236.0  412.0  454.0    0.0
 431.0  221.0  312.0  431.0  490.0  346.0  377.0  413.0   96.0  327.0  129.0    0.0
 372.0  378.0   32.0  429.0  466.0   15.0  444.0  161.0  104.0  502.0  450.0    0.0
